frame,timestamp,landmark_name,x,y,z,visibility
0,0.0,left_shoulder,0.4456476655296663,0.259301698347849,0.0,0.99
0,0.0,right_shoulder,0.6263018689460798,0.25914487257333507,0.0,0.99
0,0.0,left_hip,0.4500717640086134,0.47973137783382513,0.0,0.99
0,0.0,right_hip,0.5891159978495494,0.48001487146637883,0.0,0.99
0,0.0,left_knee,0.389074991316884,0.6798672913673248,0.0,0.99
0,0.0,right_knee,0.6091397108471492,0.6791814260266877,0.0,0.99
0,0.0,left_ankle,0.36984903837828503,0.9006537042493441,0.0,0.99
0,0.0,right_ankle,0.6292476039222993,0.8994464779292141,0.0,0.99
1,0.03333333333333333,left_shoulder,0.44678224737469546,0.2614227988147983,0.0,0.99
1,0.03333333333333333,right_shoulder,0.6266815868271193,0.26032074187918586,0.0,0.99
1,0.03333333333333333,left_hip,0.45124549961667715,0.48008932933990583,0.0,0.99
1,0.03333333333333333,right_hip,0.5910099263235886,0.4805753825513337,0.0,0.99
1,0.03333333333333333,left_knee,0.3893764069883623,0.6794699760005499,0.0,0.99
1,0.03333333333333333,right_knee,0.6095290668265565,0.6808666442426332,0.0,0.99
1,0.03333333333333333,left_ankle,0.3693614527598479,0.900163200327325,0.0,0.99
1,0.03333333333333333,right_ankle,0.6302778269378524,0.8997447950854515,0.0,0.99
2,0.06666666666666667,left_shoulder,0.44819265128894725,0.2612227403074748,0.0,0.99
2,0.06666666666666667,right_shoulder,0.6272163646974606,0.2615090797831668,0.0,0.99
2,0.06666666666666667,left_hip,0.4515258901449903,0.4838164912866697,0.0,0.99
2,0.06666666666666667,right_hip,0.5907933845393804,0.48413243040234616,0.0,0.99
2,0.06666666666666667,left_knee,0.39025589581232956,0.6805316061526288,0.0,0.99
2,0.06666666666666667,right_knee,0.610239231903457,0.6813300610263605,0.0,0.99
2,0.06666666666666667,left_ankle,0.3694881930214443,0.9001488474205174,0.0,0.99
2,0.06666666666666667,right_ankle,0.6300503930076229,0.9007502749911469,0.0,0.99
3,0.1,left_shoulder,0.4511314405156309,0.2642484254665329,0.0,0.99
3,0.1,right_shoulder,0.6316328996317376,0.2639086814932624,0.0,0.99
3,0.1,left_hip,0.45243210671954404,0.4893402095174407,0.0,0.99
3,0.1,right_hip,0.5918998301452947,0.48880385385926184,0.0,0.99
3,0.1,left_knee,0.3898571728368869,0.6824131205738477,0.0,0.99
3,0.1,right_knee,0.6097503834096335,0.6822227407413337,0.0,0.99
3,0.1,left_ankle,0.3707509556236618,0.8996274950256962,0.0,0.99
3,0.1,right_ankle,0.6303905907325473,0.9001887397542101,0.0,0.99
4,0.13333333333333333,left_shoulder,0.4543529691740627,0.26810558942810053,0.0,0.99
4,0.13333333333333333,right_shoulder,0.6348731143265227,0.26908254095571355,0.0,0.99
4,0.13333333333333333,left_hip,0.4544999626556714,0.4958043087457783,0.0,0.99
4,0.13333333333333333,right_hip,0.5936731048360264,0.4958789883774378,0.0,0.99
4,0.13333333333333333,left_knee,0.391659787503305,0.684627604663599,0.0,0.99
4,0.13333333333333333,right_knee,0.6092783197789697,0.683210603848854,0.0,0.99
4,0.13333333333333333,left_ankle,0.3697715828848934,0.9003373054317684,0.0,0.99
4,0.13333333333333333,right_ankle,0.6290451258561112,0.8999233905725995,0.0,0.99
5,0.16666666666666666,left_shoulder,0.4579126250457777,0.27181071987692806,0.0,0.99
5,0.16666666666666666,right_shoulder,0.6376944371266271,0.27311299426490965,0.0,0.99
5,0.16666666666666666,left_hip,0.4562456406040177,0.5032508942113268,0.0,0.99
5,0.16666666666666666,right_hip,0.5967688595662468,0.5044985084921857,0.0,0.99
5,0.16666666666666666,left_knee,0.3912572506503944,0.685487942929883,0.0,0.99
5,0.16666666666666666,right_knee,0.6080027917702939,0.6863563357808673,0.0,0.99
5,0.16666666666666666,left_ankle,0.3706385596756715,0.9007279689393971,0.0,0.99
5,0.16666666666666666,right_ankle,0.6295568421290278,0.8998305930344234,0.0,0.99
6,0.2,left_shoulder,0.4634373988371645,0.2784882421608977,0.0,0.99
6,0.2,right_shoulder,0.6446353189144292,0.2770216983180835,0.0,0.99
6,0.2,left_hip,0.4591968001828148,0.5129347538014748,0.0,0.99
6,0.2,right_hip,0.5993110368931958,0.5134407655285185,0.0,0.99
6,0.2,left_knee,0.39313155642521475,0.6874009850192644,0.0,0.99
6,0.2,right_knee,0.6060548777890199,0.687713384782918,0.0,0.99
6,0.2,left_ankle,0.36973850714578943,0.9001326824474128,0.0,0.99
6,0.2,right_ankle,0.6309061958510502,0.900380987314272,0.0,0.99
7,0.23333333333333334,left_shoulder,0.4695335910330897,0.2837377936657664,0.0,0.99
7,0.23333333333333334,right_shoulder,0.6498550083318472,0.2826105939533958,0.0,0.99
7,0.23333333333333334,left_hip,0.4638560705573094,0.5249537544078697,0.0,0.99
7,0.23333333333333334,right_hip,0.6038060309054623,0.5249895616688507,0.0,0.99
7,0.23333333333333334,left_knee,0.39370185917494055,0.6902435612943953,0.0,0.99
7,0.23333333333333334,right_knee,0.6052899728262625,0.6907141827611263,0.0,0.99
7,0.23333333333333334,left_ankle,0.36912449564323735,0.8991346952316861,0.0,0.99
7,0.23333333333333334,right_ankle,0.6294175263708923,0.8993246063755442,0.0,0.99
8,0.26666666666666666,left_shoulder,0.475469347776082,0.2888943916793979,0.0,0.99
8,0.26666666666666666,right_shoulder,0.65478970703542,0.2890917703361762,0.0,0.99
8,0.26666666666666666,left_hip,0.46575250677583263,0.5359957851793463,0.0,0.99
8,0.26666666666666666,right_hip,0.6056005798131197,0.5370172300900249,0.0,0.99
8,0.26666666666666666,left_knee,0.3951930113875132,0.6925367634024918,0.0,0.99
8,0.26666666666666666,right_knee,0.6045396421011779,0.6929344415239374,0.0,0.99
8,0.26666666666666666,left_ankle,0.36972832687905655,0.8992456844615244,0.0,0.99
8,0.26666666666666666,right_ankle,0.6306978738529693,0.9009862054434095,0.0,0.99
9,0.3,left_shoulder,0.4823643790059098,0.29640006940042246,0.0,0.99
9,0.3,right_shoulder,0.6616041694107022,0.29563677532108623,0.0,0.99
9,0.3,left_hip,0.4699254939473693,0.5483462695044375,0.0,0.99
9,0.3,right_hip,0.6108979330271264,0.548139632942056,0.0,0.99
9,0.3,left_knee,0.3951182581233555,0.6970941489624561,0.0,0.99
9,0.3,right_knee,0.6039844481088192,0.6954853828945049,0.0,0.99
9,0.3,left_ankle,0.3700863448517642,0.8990540849828443,0.0,0.99
9,0.3,right_ankle,0.6300562188818766,0.900957002485438,0.0,0.99
10,0.3333333333333333,left_shoulder,0.4900030270445277,0.30366877055576397,0.0,0.99
10,0.3333333333333333,right_shoulder,0.6687986073784071,0.30300977656747075,0.0,0.99
